Name,SMILE
4j,C[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)N1CCCC1C(=O)O
9,CC(C)CNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(/C=C\[C@H]2C[C@@H]2C)cc(N(C)S(C)(=O)=O)c1
1,C[C@@H](NC(=O)c1cc(-c2nnc([C@](C)([NH3+])Cc3ccccc3)o2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1
2,CC(C)C(=O)c1cc(-c2nnc([C@](C)([NH3+])Cc3ccccc3)o2)cc(N(C)S(C)(=O)=O)c1
,COCc1cc(NC(=O)c2ccco2)cc(C2(C)CCSC(N)=N2)c1
,COCc1cc(NC(=O)c2ccc(Cl)cn2)cc(C2(C)CCSC(N)=N2)c1
,CC1(c2cccc(NC(=O)c3nc4ccccc4s3)c2)CCSC(N)=N1
,CC1(c2cccc(NC(=O)c3ccc(F)cn3)c2)CCSC(N)=N1
,CC1(c2cc(NC(=O)c3ccco3)cc(C(F)(F)F)c2)CCSC(N)=N1
,CC1(c2cccc(NC(=O)c3ccc(C(F)(F)F)cn3)c2)CCSC(N)=N1
,C[C@@H](NC(=O)c1ccc(C2(C)CCSC(N)=N2)s1)c1ccccc1
,CC1(c2cc(Cl)cc(NC(=O)c3ccc(Br)cc3)c2)CCSC(N)=N1
,CC1(c2cc(Cl)cc(NC(=O)c3nc4ccccc4s3)c2)CCSC(N)=N1
,CC1(c2cc(Cl)cc(NC(=O)c3ccco3)c2)CCSC(N)=N1
,CC1(c2cc(Cl)cc(NC(=O)c3ccc(Cl)cn3)c2)CCSC(N)=N1
,CC1(c2cc(Cl)cc(NC(=O)c3cc4ccccc4s3)c2)CCSC(N)=N1
01087001.cdx,CC1(c2cc(NC(=O)c3ccc(C(F)(F)F)cn3)cc(C(F)(F)F)c2)CCSC(N)=N1
,CC1(c2cccc(NC(=O)c3ccc(Br)cn3)c2)CCSC(N)=N1
,NC1=NC(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)CCS1
,Cc1cc(C)c(C(=O)Nc2cc(Br)cc(C3(C)CCSC(N)=N3)c2)o1
,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCSC(N)=N1
,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2Cl)CCSC(N)=N1
,CC1(c2cccc(NC(=O)c3ccc(C(N)=O)cn3)c2)CCSC(N)=N1
,CC1(c2cccc(NC(=O)c3ncc(Cl)cc3Cl)c2)CCSC(N)=N1
,Cc1cnc(C(=O)Nc2cccc(C3(C)CCSC(N)=N3)c2)cn1
,CC(C)Oc1cc(NC(=O)c2ccc(Cl)cn2)cc(C2(C)CCSC(N)=N2)c1
,COc1cc(NC(=O)c2ccc(Cl)cn2)cc(C2(C)CCSC(N)=N2)c1
,Cn1cc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)cn1
,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1
,CO[C@H]1CC[C@]2(CC1)Cc1ccc(Br)cc1[C@@]21N=C(C)C(N)=N1
,CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cc(F)cc(C#N)c3)cc1[C@@]21N=C(C)C(N)=N1
,CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cncc(Cl)c3)cc1[C@@]21N=C(C)C(N)=N1
,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1
,CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cc(Cl)cc(C#N)c3)cc1[C@@]21N=C(C)C(N)=N1
,CC(C)CC1NC(=O)C(SCc2cccc(C(F)(F)F)c2)C1=O
,CC(C)CC1NC(=O)C(SCC(=O)NCc2ccc3c(c2)OCO3)C1=O
