Name,SMILE
,CCN(CC)CCn1c([Se][Se]c2c(C(=O)NC)c3ccccc3n2CCN(CC)CC)c(C(=O)NC)c2ccccc21
,O=C(NCc1ccccc1)[C@@H](Cc1c([Se]c2[nH]c3ccccc3c2C[C@@H](NC(=O)C(F)(F)F)C(=O)NCc2ccccc2)[nH]c2ccccc12)NC(=O)C(F)(F)F
,O=C(NCc1ccccc1)[C@@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@@H](NC(=O)C(F)(F)F)C(=O)NCc2ccccc2)[nH]c2ccccc12)NC(=O)C(F)(F)F
diselenobis(1H-indole) deriv. 33,N[C@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@@H](N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1
diselenobis(1H-indole) deriv. 34,N[C@@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@H](N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 22",COc1cc2ncc(C#N)c(Nc3ccc(C)cc3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 23",COc1cc2ncc(C#N)c(Nc3cccc(C(N)=O)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 24",COc1cc2ncc(C#N)c(Nc3ccc(C)c(Br)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 25",COc1cc2ncc(C#N)c(Nc3ccc(O)c(Cl)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 26",COc1cc2ncc(C#N)c(Nc3cc(Cl)c(O)c(Cl)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 27",COc1cc2ncc(C#N)c(Nc3cc(Cl)ccc3O)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 28",COc1cc2ncc(C#N)c(Nc3cccc(SC)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 29",COc1cc2ncc(C#N)c(Nc3ccc(C)c(Cl)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 30",COc1cc2ncc(C#N)c(Nc3ccc(Br)cc3F)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 31",COc1cc2ncc(C#N)c(Nc3ccc(C(C)C)cc3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 32",COc1cc2ncc(C#N)c(Nc3ccccc3C(C)C)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 33",COc1cc2ncc(C#N)c(Nc3cccc(C(C)C)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 34",COc1cc2ncc(C#N)c(Nc3ccc(Br)cc3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 35",COc1cc2ncc(C#N)c(Nc3ccccc3Br)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 36",COc1cc2ncc(C#N)c(Nc3ccc(F)c(C(F)(F)F)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 37",COc1cc2ncc(C#N)c(Nc3cccc(Br)c3C)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 38",COc1cc2ncc(C#N)c(Nc3ccc(Br)c(C)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 39",COc1cc2ncc(C#N)c(Nc3cccc(N=[N+]=[N-])c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 40",COc1cc2ncc(C#N)c(Nc3cccc(NC(C)=O)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 48",CCOc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 49",CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 50",N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCCO3
"6,7-dialkoxyquinoline deriv. 51",COc1cc2ncc(CO)c(Nc3cccc(Br)c3)c2cc1OC
"6,7-dialkoxyquinoline deriv. 52",COc1cc2ncc(C=O)c(Nc3cccc(Br)c3)c2cc1OC
"6,7-dialkoxyquinoline deriv. 53",COc1cc2ncc(C(=O)O)c(Nc3cccc(Br)c3)c2cc1OC
"6,7-dialkoxyquinoline deriv. 54",COc1cc2ncc(C(N)=O)c(Nc3cccc(Br)c3)c2cc1OC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 55",N#Cc1cnc2cc(O)c(O)cc2c1Nc1cccc(Br)c1
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 56",COCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCOC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 57",COCCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCCOC
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 58",N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCO3
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 59",N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCCCO3
5g,CCOC(=O)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1
9b,CCc1c(NC(=O)OCCn2ccnc2)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12
5c,CCOC(=O)c1cn2ncnc(Nc3ccc4[nH]ncc4c3)c2c1CC
8a,CCc1c(C(=O)OCCCn2ccnc2)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12
14,CCc1c(CC(=O)O)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12
11,CCNCc1cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2c1CC
7a,CCc1c(C(N)=O)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12
,COc1ccc(C#CC(C)(C)N)cc1-c1[nH]nc2nc(Nc3ccc(F)cc3F)ncc12
,O=c1ccc(-n2ccc3ccc(F)cc32)nn1CCOc1ccnc2cc(OCCCN3CCOCC3)ccc12
,CCn1nc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)c2c(N)ncnc21
,Fc1ccc2c(c1)CNc1c(Nc3ccc(Cl)cc3)ncnc1O2
